code	species_name	common_name
SACSP	Saccharum spontaneum	
SALMO	Salvinia molesta	
SELER	Selaginella erythropus	
SELMO	Selaginella moellendorffii	
SELWI	Selaginella willdenowii	
SESIN	Sesanum indicum	
SETIT	Setaria italica	
SETVI	Setaria viridis	
SMIHI	Smilax hispida	
SOLLY	Solanum lycopersicum	
SOLME	Solanum melongena	
SOLPE	Solanum pennellii	
SOLPI	Solanum pimpinellifolium	
SOLTU	Solanum tuberosum	
SORBI	Sorghum bicolor	
SPIOL	Spinacia oleracea	
STEMA	Stemonurus malaccensis	
STEPA	Stenochlaena palustris	
SYNXX	Syngonium sp.	
TABDI	Tabernaemontana divaricata	
TARHA	Tarenaya hassleriana	
TAXCA	Taxus canadensis	
TECIN	Tectaria incisa	
THECA	Theobroma cacao	
TRIAE	Triticum aestivum	
TRIDI	Triticum dicoccoides	
TRIPR	Trifolium pratense	
TRITU	Triticum turgidum	
TRIUR	Triticum urartu	
ULVMU	Ulva mutabilis	
VIGAN	Vigna angularis	
VIGRA	Vigna radiata	
VITVI	Vitis vinifera	
ZEAMA	Zea mays	
ZIZJU	Ziziphus jujuba	
ZOSMA	Zostera marina	
ZYGCI	Zygnema circumcarinatum	
