species_a,species_b,n_genes_a,n_genes_b,hits_at_k_procrustes,mrr_at_k_procrustes,top_m_hits_at_k_procrustes,spearman_rho_procrustes,hits_at_k_space_v2,mrr_at_k_space_v2,top_m_hits_at_k_space_v2,spearman_rho_space_v2
ARATH,BRAJU,27540,79019,0.2561,0.0499,0.4033,0.5800,0.0020,0.0002,0.0089,0.0806
ARATH,BRANA,27540,100168,0.2794,0.0565,0.4252,0.6025,0.0009,0.0001,0.0051,0.0211
ARATH,BRAOL,27540,35238,0.2708,0.0536,0.3536,0.5390,0.0094,0.0009,0.0229,0.1331
ARATH,BRARA,27540,40492,0.3453,0.0770,0.4529,0.6320,0.0075,0.0006,0.0207,0.1551
ARATH,BUXMI,27540,28530,0.0117,0.0022,0.0343,0.2247,0.0030,0.0004,0.0090,-0.0254
ARATH,BUXSI,27540,25150,0.0113,0.0023,0.0333,0.1457,0.0022,0.0002,0.0092,-0.0303
ARATH,CAJCA,27540,45234,0.1696,0.0281,0.2369,0.4371,0.0068,0.0007,0.0160,0.1113
ARATH,CAMSA,27540,88308,0.1761,0.0307,0.2933,0.4934,0.0006,0.0000,0.0048,0.0444
ARATH,CAPAN,27540,35438,0.1961,0.0327,0.2659,0.4832,0.0080,0.0007,0.0172,0.1186
ARATH,CAPRU,27540,27575,0.1529,0.0259,0.2209,0.4138,0.0063,0.0006,0.0173,0.0417
ARATH,CARPA,27540,26885,0.1689,0.0294,0.2281,0.4919,0.0208,0.0024,0.0403,0.1881
ARATH,CELOR,27540,23799,0.0159,0.0061,0.0388,0.1490,0.0022,0.0001,0.0097,-0.0056
ARATH,CHEQU,27540,44662,0.1935,0.0333,0.2840,0.4987,0.0054,0.0004,0.0191,0.1157
ARATH,CICAR,27540,27785,0.2484,0.0479,0.3214,0.5560,0.0215,0.0022,0.0442,0.2868
ARATH,CITCL,27540,23959,0.1055,0.0176,0.1643,0.3694,0.0075,0.0007,0.0208,0.0974
ARATH,CITLA,27540,22249,0.1995,0.0351,0.2634,0.5271,0.0270,0.0026,0.0457,0.2218
ARATH,CITMA,27540,29146,0.1651,0.0262,0.2334,0.4539,0.0084,0.0006,0.0206,0.1124
ARATH,CITSI,27540,25187,0.1687,0.0286,0.2350,0.4948,0.0145,0.0014,0.0336,0.1192
ARATH,COFCA,27540,25193,0.1164,0.0191,0.1745,0.4123,0.0087,0.0010,0.0219,0.0659
ARATH,CORCA,27540,23526,0.1040,0.0156,0.1553,0.3571,0.0159,0.0018,0.0299,0.1114
ARATH,CUCME,27540,28490,0.2058,0.0370,0.2688,0.5200,0.0207,0.0020,0.0347,0.1730
ARATH,CUCSA,27540,21446,0.2544,0.0497,0.3249,0.5707,0.0313,0.0034,0.0509,0.2471
ARATH,CYCBI,27540,22287,0.0321,0.0106,0.0541,0.2017,0.0038,0.0003,0.0089,-0.0122
ARATH,CYRRE,27540,43486,0.0327,0.0058,0.0575,0.2183,0.0033,0.0003,0.0073,0.0313
ARATH,DAUCA,27540,35961,0.1831,0.0302,0.2618,0.5074,0.0107,0.0010,0.0244,0.1645
ARATH,DIOVI,27540,39353,0.0207,0.0032,0.0479,0.2002,0.0022,0.0001,0.0058,-0.0412
ARATH,ELAGU,27540,25966,0.1366,0.0213,0.2089,0.5313,0.0125,0.0012,0.0310,0.2074
ARATH,EPIPI,27540,51718,0.0477,0.0134,0.0784,0.2611,0.0068,0.0006,0.0107,0.1177
ARATH,ERYGU,27540,28038,0.1785,0.0302,0.2447,0.4517,0.0134,0.0013,0.0283,0.1396
ARATH,EUCGR,27540,36050,0.1664,0.0286,0.2353,0.4792,0.0086,0.0007,0.0196,0.0836
ARATH,FRAEX,27540,38436,0.1181,0.0190,0.1870,0.4538,0.0048,0.0004,0.0166,0.0903
ARATH,FRAVE,27540,33999,0.2120,0.0378,0.2824,0.5032,0.0156,0.0016,0.0283,0.1867
ARATH,GLOSU,27540,27139,0.0179,0.0051,0.0354,0.1696,0.0022,0.0002,0.0079,-0.0043
ARATH,GLYMA,27540,48382,0.2073,0.0357,0.3221,0.5690,0.0036,0.0003,0.0130,0.0735
ARATH,GOSAR,27540,33301,0.1919,0.0326,0.2788,0.5160,0.0080,0.0008,0.0223,0.0669
