species,n_genes,n_edges,density,mean_degree
NEPBI,34588,853527,0.00142695,49.3539
NICAT,32594,1117303,0.00210348,68.5588
NICBE,57242,2161226,0.00131919,75.5119
NICTA,67212,2588649,0.00114608,77.0294
NUPAD,30381,821117,0.00177928,54.0546
OLEEU,50544,1771062,0.00138654,70.08
OPHRE,37433,1311709,0.00187228,70.083
ORYRU,36841,1263011,0.00186117,68.5655
ORYSA,42173,1543983,0.00173626,73.2214
PALCE,27347,1103277,0.0029506,80.6872
PANHA,33713,1162912,0.00204642,68.9889
PHAVU,27417,916643,0.00243897,66.8668
PHLPH,41331,1597395,0.00187026,77.2977
PHYBR,24932,732097,0.0023556,58.7275
PHYED,50185,1937864,0.00153891,77.2288
PHYPA,34813,1275852,0.00210552,73.2974
PICAB,64607,2500298,0.00119803,77.4002
PIPSA,38928,1205207,0.00159066,61.9198
PISSA,38096,1429679,0.00197025,75.0566
PLEIR,33608,1253288,0.00221926,74.5827
PLEVA,46945,1808992,0.00164171,77.0686
PODNE,19573,621850,0.00324656,63.5416
POLXX,32032,1440980,0.00280888,89.9713
POPTR,34671,1255699,0.00208927,72.4351
PRUAV,40157,1412573,0.00175198,70.3525
PRUPE,26832,976447,0.00271262,72.7823
PSEME,48847,1898563,0.00159143,77.7351
PSINU,22535,691607,0.00272391,61.3807
PYRPI,44158,1426486,0.00146315,64.6083
RAPSA,76520,2944422,0.00100574,76.9582
RICCO,25814,947952,0.00284526,73.4448
ROSCH,44933,1715194,0.00169911,76.3445
SACSP,52368,1960160,0.00142955,74.861
SALMO,37993,1543495,0.00213865,81.2515
SELER,44803,1749933,0.0017436,78.1168
SELMO,21389,689983,0.00301653,64.5176
SELWI,22755,860719,0.00332473,75.651
SESIN,24822,852944,0.00276882,68.7248
SETIT,34574,1213309,0.00203009,70.1862
SETVI,29777,1094867,0.0024697,73.5378
SMIHI,25420,701099,0.00217008,55.1612
SOLLY,36401,1273199,0.00192182,69.9541
SOLME,33409,1134600,0.0020331,67.9218
SOLPE,41911,1420619,0.00161757,67.7922
SOLPI,33885,1180968,0.00205715,69.7045
SOLTU,32903,1189958,0.00219839,72.3313
SORBI,32155,1188570,0.00229917,73.9275
SPIOL,33515,1297914,0.00231106,77.4527
STEMA,28745,1325051,0.0032074,92.1935
STEPA,45146,1164805,0.00114302,51.6017
SYNXX,34806,1283412,0.00211885,73.7466
TABDI,54245,1777407,0.00120811,65.5326
TARHA,26677,823217,0.00231359,61.7174
