category,metric,basic_mean,basic_std,basic_n,full_mean,full_std,full_n,improvement_pct
cross-species (n=158 pairs),Hits@50,0.11916242870119034,0.0928399208024329,158,0.12955350844967592,0.09238563123911786,158,8.720097317370117
cross-species (n=158 pairs),MRR@50,0.020717464700190917,0.021834707500577914,158,0.023863687300266216,0.02253090644035,158,15.186330207896074
cross-species (n=158 pairs),Spearman ρ,0.37086829985746633,0.15774147575949943,158,0.4067873362264981,0.12982634439223828,158,9.68511905246049
cross-species (n=158 pairs),Top-M Hits@50,0.1767575530738592,0.11901905277435054,158,0.1874699209407245,0.11482948655277837,158,6.060486627346032
within-species (n=153),Precision@50 (within),0.538279241762757,0.1523312949526935,153,0.5382793000015279,0.1523311281611579,153,1.0819434672273316e-05
within-species (n=153),Recall@50 (within),0.5465155933268229,0.15755463771733116,153,0.5465156652038778,0.15755448367503713,153,1.3151876332940252e-05
