test_species,aspect,method,method_label,fmax,fmax_std,fmax_se,auprc,auprc_std,n_terms,n_train,n_test
GLYMA,BP,procrustes,Procrustes,0.291268971953216,0.23685372318253092,0.01933902551585386,0.20278663068170694,0.23070263959516912,150,14946,61
GLYMA,BP,procrustes_prott5,Procrustes+ProtT5,0.3598047121382256,0.30385470014616367,0.024809632376816205,0.2830571500504848,0.3136704453755996,150,14941,61
GLYMA,BP,prott5,ProtT5,0.3578349245796835,0.304764630762488,0.024883927900527233,0.2679820479269618,0.3143225564065736,150,14941,61
MEDTR,BP,procrustes,Procrustes,0.4106246799795188,0.15389917705252254,0.027641108176190417,0.2750384024577573,0.1621667269037008,31,14946,8
MEDTR,BP,procrustes_prott5,Procrustes+ProtT5,0.32580645161290334,0.1559690564297913,0.028012869486903767,0.20956221198156683,0.16327369335625447,31,14941,8
MEDTR,BP,prott5,ProtT5,0.33840245775729655,0.13670541411825773,0.02455301719140502,0.21063748079877112,0.10870046141559131,31,14941,8
ORYSA,BP,procrustes,Procrustes,0.14413270721685897,0.16130451822969558,0.004942785096307165,0.08234493687129207,0.1287331952962207,1065,14946,984
ORYSA,BP,procrustes_prott5,Procrustes+ProtT5,0.30766671122059686,0.27995029058533155,0.0085783965582515,0.23452143120299696,0.28028288134235546,1065,14941,984
ORYSA,BP,prott5,ProtT5,0.3166111769133873,0.29362734536385876,0.008997496675610988,0.2410061403137759,0.2889747312433827,1065,14941,984
ZEAMA,BP,procrustes,Procrustes,0.20702185216385796,0.1838102629115884,0.008664898890431087,0.12989961433244346,0.15480199334169248,450,14946,148
ZEAMA,BP,procrustes_prott5,Procrustes+ProtT5,0.41722513047289844,0.30589326990792676,0.014419947031414792,0.3388792781885158,0.3153449230970128,450,14941,148
ZEAMA,BP,prott5,ProtT5,0.420731541582069,0.3158934677597652,0.01489136087903093,0.3465532643506626,0.32996797702195263,450,14941,148
GLYMA,CC,procrustes,Procrustes,0.46965713192994596,0.21957709713287799,0.04149617090136206,0.379118985940702,0.23923047149525217,28,14946,61
GLYMA,CC,procrustes_prott5,Procrustes+ProtT5,0.48513218861583157,0.20206990387999224,0.038187622365513235,0.38369329826304055,0.2283996916591308,28,14941,61
GLYMA,CC,prott5,ProtT5,0.5282952787770614,0.21819191897333337,0.041234396834813974,0.4247567763081953,0.24953194901833864,28,14941,61
MEDTR,CC,procrustes,Procrustes,0.41414141414141414,0.24801528269639836,0.07477942136162523,0.3143939393939394,0.27388971842054777,11,14946,8
MEDTR,CC,procrustes_prott5,Procrustes+ProtT5,0.5043290043290043,0.3094102658572102,0.09329070528477076,0.41969696969696973,0.36214973895498076,11,14941,8
MEDTR,CC,prott5,ProtT5,0.4822510822510822,0.20973121286427374,0.06323633999063233,0.346969696969697,0.2360039999038475,11,14941,8
ORYSA,CC,procrustes,Procrustes,0.241865884712335,0.19608276620644163,0.018050881757694127,0.15743857523012678,0.1556641686888653,118,14946,984
ORYSA,CC,procrustes_prott5,Procrustes+ProtT5,0.3643162804002001,0.2888862700288641,0.02659413676478934,0.29647841423154103,0.29564103870634095,118,14941,984
ORYSA,CC,prott5,ProtT5,0.35036022047773424,0.28912135159013186,0.026615777776633244,0.28409110926582354,0.2936061301943101,118,14941,984
ZEAMA,CC,procrustes,Procrustes,0.29425903151840105,0.24859516733122647,0.028330048574146723,0.2182459743199284,0.23940975717476332,77,14946,148
ZEAMA,CC,procrustes_prott5,Procrustes+ProtT5,0.43858539942339103,0.2556831843051666,0.029137803074452642,0.35730922141367044,0.25766764668861475,77,14941,148
ZEAMA,CC,prott5,ProtT5,0.49949308141354515,0.2779780350667496,0.03167853711932424,0.41708980246296556,0.29429510403567893,77,14941,148
GLYMA,MF,procrustes,Procrustes,0.2713933830536174,0.2340078172560874,0.026496167728937318,0.19020757352903525,0.23116578689194972,78,14946,61
GLYMA,MF,procrustes_prott5,Procrustes+ProtT5,0.6617842831642076,0.38509933353994913,0.0436039131231674,0.6152598090622658,0.4083223147560317,78,14941,61
GLYMA,MF,prott5,ProtT5,0.6771096541555013,0.38623778422206456,0.04373281727935396,0.6387396423647935,0.4111073563856793,78,14941,61
MEDTR,MF,procrustes,Procrustes,0.5652116402116402,0.22790145448040605,0.06578948304648484,0.4575255102040816,0.277869852932357,12,14946,8
MEDTR,MF,procrustes_prott5,Procrustes+ProtT5,0.8333333333333334,0.23491527235406642,0.06781419786518725,0.7974537037037037,0.3025472685870769,12,14941,8
MEDTR,MF,prott5,ProtT5,0.837121212121212,0.2261660767579751,0.06528852264888925,0.7862433862433863,0.30366661428024294,12,14941,8
ORYSA,MF,procrustes,Procrustes,0.10783951924543764,0.13406500576771369,0.007899856224846997,0.053171770349311684,0.1025523103422564,288,14946,984
ORYSA,MF,procrustes_prott5,Procrustes+ProtT5,0.5773969442558585,0.3190273091356043,0.018798864472790236,0.5045816198957086,0.352250529783744,288,14941,984
ORYSA,MF,prott5,ProtT5,0.5918001365777243,0.3344701608531277,0.019708843236983496,0.5236645063358694,0.3688307757957408,288,14941,984
ZEAMA,MF,procrustes,Procrustes,0.23511720870546693,0.22732935473188842,0.018499800522070564,0.16616532444925772,0.21156111639681074,151,14946,148
ZEAMA,MF,procrustes_prott5,Procrustes+ProtT5,0.6419467784415477,0.3359473967008313,0.02733901141893528,0.5838838527638376,0.3634519853991016,151,14941,148
ZEAMA,MF,prott5,ProtT5,0.6671873178306287,0.3348254358943237,0.02724770754338233,0.6117024681166553,0.3642889570815182,151,14941,148
