f1_micro,f1_macro,accuracy,jaccard_micro,fold,partition,n_test,n_train
0.6445652173913043,0.43182357853015346,0.48401323042998895,0.4755412991178829,0,0,907,3562
0.6666666666666666,0.4729464896054779,0.5170789163722026,0.5,1,1,849,3620
0.6548004314994607,0.4370649972158005,0.48672566371681414,0.4867682437850842,2,2,904,3565
0.6564102564102564,0.43881236602977197,0.5076608784473953,0.48854961832061067,3,3,979,3490
0.7146433041301627,0.4499105348691744,0.563855421686747,0.5559883154819864,4,4,830,3639
