species,compartment,mcc
ARATH,Cytoplasm,0.15569558610468107
ARATH,Nucleus,0.41170090784676816
ARATH,Cell membrane,0.14456411139084152
ARATH,Plastid,0.641649662102316
ARATH,Extracellular,0.2694975235647129
ARATH,Mitochondrion,0.2436818975202953
ARATH,Endoplasmic reticulum,0.1912820839259123
ARATH,Golgi apparatus,0.2310596907809956
ARATH,Lysosome/Vacuole,0.0
ARATH,Peroxisome,0.07662694512586585
GLYMA,Cytoplasm,0.11062804172508495
GLYMA,Nucleus,0.3517071093312268
GLYMA,Cell membrane,0.17862668927255185
GLYMA,Plastid,0.5606526874107831
GLYMA,Extracellular,0.2991993155316929
GLYMA,Mitochondrion,0.11055280264111744
GLYMA,Endoplasmic reticulum,0.22087291597718609
GLYMA,Golgi apparatus,0.1501258605930033
GLYMA,Lysosome/Vacuole,0.0
GLYMA,Peroxisome,0.0
MEDTR,Cytoplasm,0.06245566248237292
MEDTR,Nucleus,0.3250244224696347
MEDTR,Cell membrane,0.11998704146689378
MEDTR,Plastid,0.5215817820768881
MEDTR,Extracellular,0.20150840793657518
MEDTR,Mitochondrion,0.09828218055173622
MEDTR,Endoplasmic reticulum,0.12742850088631624
MEDTR,Golgi apparatus,0.1262523811777406
MEDTR,Lysosome/Vacuole,0.0
MEDTR,Peroxisome,0.0
ORYSA,Cytoplasm,0.2336403143657369
ORYSA,Nucleus,0.4017087585119513
ORYSA,Cell membrane,0.18700996921739774
ORYSA,Plastid,0.6129715489681322
ORYSA,Extracellular,0.2758905495971734
ORYSA,Mitochondrion,0.11221098349559624
ORYSA,Endoplasmic reticulum,0.16231118369302147
ORYSA,Golgi apparatus,0.29172532723543976
ORYSA,Lysosome/Vacuole,0.0
ORYSA,Peroxisome,0.0
POPTR,Cytoplasm,0.12389322315004675
POPTR,Nucleus,0.36687816995980316
POPTR,Cell membrane,0.17566828311072671
POPTR,Plastid,0.5271656654629454
POPTR,Extracellular,0.2965265214992773
POPTR,Mitochondrion,0.06675690592353177
POPTR,Endoplasmic reticulum,0.15889087268632546
POPTR,Golgi apparatus,0.23781304419298263
POPTR,Lysosome/Vacuole,0.0
POPTR,Peroxisome,0.0
ZEAMA,Cytoplasm,0.08533128857820428
ZEAMA,Nucleus,0.42028346430714986
ZEAMA,Cell membrane,0.17266399269251512
ZEAMA,Plastid,0.6139316882149886
ZEAMA,Extracellular,0.23702447821597478
ZEAMA,Mitochondrion,0.08853762758685094
ZEAMA,Endoplasmic reticulum,0.11484216983096598
ZEAMA,Golgi apparatus,0.22148775985217534
ZEAMA,Lysosome/Vacuole,0.0
ZEAMA,Peroxisome,0.0
