species,compartment,mcc
ARATH,Cytoplasm,0.05250221730239679
ARATH,Nucleus,0.16244621106938317
ARATH,Cell membrane,0.06294015070341631
ARATH,Plastid,0.5140842755317939
ARATH,Extracellular,0.1453200118879331
ARATH,Mitochondrion,0.00440500367997407
ARATH,Endoplasmic reticulum,-0.004941036985598667
ARATH,Golgi apparatus,0.03444254296203651
ARATH,Lysosome/Vacuole,0.0
ARATH,Peroxisome,0.0
GLYMA,Cytoplasm,0.048847389473669574
GLYMA,Nucleus,0.07340381666032673
GLYMA,Cell membrane,0.05440820380949787
GLYMA,Plastid,-0.0002681441297904355
GLYMA,Extracellular,0.05372648735658546
GLYMA,Mitochondrion,0.006516526796652066
GLYMA,Endoplasmic reticulum,0.016680727824563757
GLYMA,Golgi apparatus,-0.008413967930109942
GLYMA,Lysosome/Vacuole,-0.0014889065907461333
GLYMA,Peroxisome,0.0
MEDTR,Cytoplasm,-0.00018533881256191744
MEDTR,Nucleus,0.046481621584580454
MEDTR,Cell membrane,0.007463179338666968
MEDTR,Plastid,0.07108713105083776
MEDTR,Extracellular,0.04902878845068773
MEDTR,Mitochondrion,-0.024386887721505116
MEDTR,Endoplasmic reticulum,-0.010243822783106411
MEDTR,Golgi apparatus,-0.006549267788454602
MEDTR,Lysosome/Vacuole,-0.0040273360532439
MEDTR,Peroxisome,0.0
ORYSA,Cytoplasm,0.05939722581218252
ORYSA,Nucleus,0.10068064643028318
ORYSA,Cell membrane,0.06589740630426713
ORYSA,Plastid,0.45594763750058187
ORYSA,Extracellular,0.012014554431350214
ORYSA,Mitochondrion,0.1299123778409766
ORYSA,Endoplasmic reticulum,0.065486573411429
ORYSA,Golgi apparatus,0.07307833621766742
ORYSA,Lysosome/Vacuole,-0.005295299268600207
ORYSA,Peroxisome,0.0
POPTR,Cytoplasm,0.046188621403254485
POPTR,Nucleus,0.047928461204054765
POPTR,Cell membrane,0.10109536071427608
POPTR,Plastid,0.035181201996724545
POPTR,Extracellular,0.03785147797825217
POPTR,Mitochondrion,-0.007723743800144609
POPTR,Endoplasmic reticulum,0.031003705433058772
POPTR,Golgi apparatus,0.007217266637651973
POPTR,Lysosome/Vacuole,-0.0012376728098212114
POPTR,Peroxisome,0.0
ZEAMA,Cytoplasm,-0.012665310451238388
ZEAMA,Nucleus,-0.01315316214711433
ZEAMA,Cell membrane,0.0557634441454193
ZEAMA,Plastid,-0.0363021802011978
ZEAMA,Extracellular,0.012439241991229715
ZEAMA,Mitochondrion,0.017096882233035515
ZEAMA,Endoplasmic reticulum,0.03314509702268347
ZEAMA,Golgi apparatus,-0.009431304932550582
ZEAMA,Lysosome/Vacuole,-0.0017950974091924
ZEAMA,Peroxisome,0.0
