f1_micro,f1_macro,accuracy,jaccard_micro,fold,partition,n_test,n_train
0.6159737417943107,0.40255040053925295,0.4665203073545554,0.4450592885375494,0,0,911,3579
0.6581096849474912,0.44381352405182806,0.5005861664712778,0.49043478260869566,1,1,853,3637
0.6358695652173914,0.4092087965287667,0.47078280044101434,0.46613545816733065,2,2,907,3583
0.6505652620760535,0.4088260017354964,0.4898580121703854,0.4821020563594821,3,3,986,3504
0.7111665626949469,0.4590558361764755,0.56062424969988,0.5517909002904162,4,4,833,3657
