species,compartment,mcc
ARATH,Cytoplasm,0.5742497388693004
ARATH,Nucleus,0.8277295577163363
ARATH,Cell membrane,0.6879342352997977
ARATH,Plastid,0.818007008415415
ARATH,Extracellular,0.8952747654990781
ARATH,Mitochondrion,0.6494641774072973
ARATH,Endoplasmic reticulum,0.5671843666053497
ARATH,Golgi apparatus,0.6658746131577282
ARATH,Lysosome/Vacuole,0.3154705342247515
ARATH,Peroxisome,0.3066944019186842
GLYMA,Cytoplasm,0.7554820765080151
GLYMA,Nucleus,0.8947400151231492
GLYMA,Cell membrane,0.8350537028775133
GLYMA,Plastid,0.864975209100282
GLYMA,Extracellular,0.9367011598294213
GLYMA,Mitochondrion,0.7985371070457964
GLYMA,Endoplasmic reticulum,0.6527180919605858
GLYMA,Golgi apparatus,0.7194669291899877
GLYMA,Lysosome/Vacuole,0.46262040428214096
GLYMA,Peroxisome,0.3031685194131785
MEDTR,Cytoplasm,0.7004272949721174
MEDTR,Nucleus,0.8908153732563716
MEDTR,Cell membrane,0.8411652389163516
MEDTR,Plastid,0.8231588544687689
MEDTR,Extracellular,0.9145734401278195
MEDTR,Mitochondrion,0.7583905200159452
MEDTR,Endoplasmic reticulum,0.6815176759988361
MEDTR,Golgi apparatus,0.6771178906070215
MEDTR,Lysosome/Vacuole,0.6198655531176748
MEDTR,Peroxisome,0.37698114913695774
ORYSA,Cytoplasm,0.6825460966193044
ORYSA,Nucleus,0.8641705220814951
ORYSA,Cell membrane,0.8292436107851402
ORYSA,Plastid,0.8437567745183211
ORYSA,Extracellular,0.9136667226246112
ORYSA,Mitochondrion,0.7290758005340274
ORYSA,Endoplasmic reticulum,0.6170920823125323
ORYSA,Golgi apparatus,0.7826375067237229
ORYSA,Lysosome/Vacuole,0.3832002233042709
ORYSA,Peroxisome,0.0
POPTR,Cytoplasm,0.7378591556358405
POPTR,Nucleus,0.8991632891386082
POPTR,Cell membrane,0.8587417138486875
POPTR,Plastid,0.8767053884341209
POPTR,Extracellular,0.9360533628759303
POPTR,Mitochondrion,0.815780460962198
POPTR,Endoplasmic reticulum,0.6850761945482324
POPTR,Golgi apparatus,0.7601461443031825
POPTR,Lysosome/Vacuole,0.5297360796274515
POPTR,Peroxisome,0.0
ZEAMA,Cytoplasm,0.6541070356992099
ZEAMA,Nucleus,0.8413671812437874
ZEAMA,Cell membrane,0.8542592240455292
ZEAMA,Plastid,0.8048009917973252
ZEAMA,Extracellular,0.9436935579925981
ZEAMA,Mitochondrion,0.7428642925534078
ZEAMA,Endoplasmic reticulum,0.5642138163003715
ZEAMA,Golgi apparatus,0.7679075967584169
ZEAMA,Lysosome/Vacuole,0.5006754802319084
ZEAMA,Peroxisome,0.4133461351368104
