species,compartment,mcc
ARATH,Cytoplasm,0.6045003889327693
ARATH,Nucleus,0.8263952675609442
ARATH,Cell membrane,0.7019987445400188
ARATH,Plastid,0.8259616768399477
ARATH,Extracellular,0.9003799083901067
ARATH,Mitochondrion,0.7031718952092866
ARATH,Endoplasmic reticulum,0.5996795357099469
ARATH,Golgi apparatus,0.7283525977962405
ARATH,Lysosome/Vacuole,0.43109302105414843
ARATH,Peroxisome,0.4362420311437079
GLYMA,Cytoplasm,0.733810981209399
GLYMA,Nucleus,0.9093822245820161
GLYMA,Cell membrane,0.8466767609987309
GLYMA,Plastid,0.8771686831608277
GLYMA,Extracellular,0.9349670396962982
GLYMA,Mitochondrion,0.8122725184852552
GLYMA,Endoplasmic reticulum,0.6914210094699917
GLYMA,Golgi apparatus,0.8236929559911798
GLYMA,Lysosome/Vacuole,0.46262040428214096
GLYMA,Peroxisome,0.5342046599342016
MEDTR,Cytoplasm,0.7370548707423478
MEDTR,Nucleus,0.9046476528267987
MEDTR,Cell membrane,0.8537399745366866
MEDTR,Plastid,0.8251251234681557
MEDTR,Extracellular,0.9142346915208582
MEDTR,Mitochondrion,0.7491237038781584
MEDTR,Endoplasmic reticulum,0.7166941461816355
MEDTR,Golgi apparatus,0.8077223605496995
MEDTR,Lysosome/Vacuole,0.5522649654400917
MEDTR,Peroxisome,0.4618057302588221
ORYSA,Cytoplasm,0.6759442870268492
ORYSA,Nucleus,0.8793762034901261
ORYSA,Cell membrane,0.8221622216983809
ORYSA,Plastid,0.86641266217066
ORYSA,Extracellular,0.9105205665075402
ORYSA,Mitochondrion,0.74861712822926
ORYSA,Endoplasmic reticulum,0.6091507871603368
ORYSA,Golgi apparatus,0.8515159757533257
ORYSA,Lysosome/Vacuole,0.4136313796904691
ORYSA,Peroxisome,0.5288028064430308
POPTR,Cytoplasm,0.758347249619905
POPTR,Nucleus,0.9142373671397183
POPTR,Cell membrane,0.8635986850292168
POPTR,Plastid,0.8903117038702856
POPTR,Extracellular,0.933186380872467
POPTR,Mitochondrion,0.8354941263699467
POPTR,Endoplasmic reticulum,0.6929626116430102
POPTR,Golgi apparatus,0.8281743524824595
POPTR,Lysosome/Vacuole,0.5041181751027266
POPTR,Peroxisome,0.48827684846457087
ZEAMA,Cytoplasm,0.6955578623649394
ZEAMA,Nucleus,0.8706707460243394
ZEAMA,Cell membrane,0.8535610460591345
ZEAMA,Plastid,0.8197495296453013
ZEAMA,Extracellular,0.9525323606736344
ZEAMA,Mitochondrion,0.7610280286242289
ZEAMA,Endoplasmic reticulum,0.6672982881147634
ZEAMA,Golgi apparatus,0.7949193214968295
ZEAMA,Lysosome/Vacuole,0.4834541193636425
ZEAMA,Peroxisome,0.3940880139520962
