f1_micro,f1_macro,accuracy,jaccard_micro,fold,partition,n_test,n_train
0.41840490797546015,0.20575243100928003,0.270032930845225,0.26454615981380913,0,0,911,3579
0.4325767690253672,0.23415542295313566,0.2977725674091442,0.27597955706984667,1,1,853,3637
0.41032095657646317,0.20690054239890823,0.28335170893054024,0.2581155977830562,2,2,907,3583
0.4266191325014854,0.20107160893338133,0.2880324543610548,0.2711480362537764,3,3,986,3504
0.4671841919548342,0.22557032105444907,0.32292917166866747,0.30478821362799263,4,4,833,3657
