f1_micro,f1_macro,accuracy,jaccard_micro,fold
0.8575415450970443,0.7365767027859794,0.7788793484996016,0.7506107039751277,0
0.8541728290724699,0.7028546907488957,0.7779056386651323,0.7454639327334415,1
0.8580961229833601,0.7294059658813019,0.7780826768168541,0.75146090687181,2
0.8561343823091644,0.7400614368156135,0.7799415774099319,0.748457134359432,3
0.8608963798420141,0.7345935182983305,0.7810923253961228,0.7557665208039753,4
