f1_micro,f1_macro,accuracy,jaccard_micro,fold,partition,n_test,n_train
0.6102620087336245,0.377690853729249,0.46871569703622395,0.4391201885310291,0,0,911,3579
0.6536873156342183,0.43990010144456065,0.48651817116060964,0.4855390008764242,1,1,853,3637
0.6351648351648351,0.41798456455486416,0.46306504961411243,0.46537842190016104,2,2,907,3583
0.65504869297796,0.40299896583974115,0.5,0.4870426829268293,3,3,986,3504
0.701688555347092,0.4210180178738202,0.5474189675870348,0.5404624277456648,4,4,833,3657
