species,compartment,mcc
ARATH,Cytoplasm,0.10620578174077033
ARATH,Nucleus,0.08237640981163348
ARATH,Cell membrane,0.12324010071308178
ARATH,Plastid,0.15371184377856786
ARATH,Extracellular,0.2343342755921449
ARATH,Mitochondrion,0.20321833319632018
ARATH,Endoplasmic reticulum,0.0
ARATH,Golgi apparatus,0.0
ARATH,Lysosome/Vacuole,0.0
ARATH,Peroxisome,0.0
GLYMA,Cytoplasm,-0.031320056129469
GLYMA,Nucleus,0.02433929670781866
GLYMA,Cell membrane,0.0057348680750120475
GLYMA,Plastid,-0.0024187602339357287
GLYMA,Extracellular,-0.02639400758824032
GLYMA,Mitochondrion,0.028750333451987076
GLYMA,Endoplasmic reticulum,0.0
GLYMA,Golgi apparatus,0.0
GLYMA,Lysosome/Vacuole,0.0
GLYMA,Peroxisome,0.0
MEDTR,Cytoplasm,0.17722531129149266
MEDTR,Nucleus,0.012741453417049528
MEDTR,Cell membrane,-0.024693405737122868
MEDTR,Plastid,0.27310488909124353
MEDTR,Extracellular,0.051422297011837
MEDTR,Mitochondrion,0.042845270319602294
MEDTR,Endoplasmic reticulum,0.06744819173720729
MEDTR,Golgi apparatus,-0.003102875990241203
MEDTR,Lysosome/Vacuole,0.0
MEDTR,Peroxisome,-0.0008117750253359961
ORYSA,Cytoplasm,0.07800071038810595
ORYSA,Nucleus,0.023776710858724136
ORYSA,Cell membrane,0.028258615374278206
ORYSA,Plastid,0.3606742393174104
ORYSA,Extracellular,0.1848194095302955
ORYSA,Mitochondrion,0.015394854156240964
ORYSA,Endoplasmic reticulum,0.1368565387053929
ORYSA,Golgi apparatus,0.02775212582453665
ORYSA,Lysosome/Vacuole,0.0
ORYSA,Peroxisome,0.0
POPTR,Cytoplasm,0.009753881286221526
POPTR,Nucleus,0.06722967778507012
POPTR,Cell membrane,0.17317793371918258
POPTR,Plastid,0.018114578017368918
POPTR,Extracellular,0.12495845407030023
POPTR,Mitochondrion,0.03415946332022977
POPTR,Endoplasmic reticulum,0.0
POPTR,Golgi apparatus,-0.0025082914880113962
POPTR,Lysosome/Vacuole,0.0
POPTR,Peroxisome,0.0
ZEAMA,Cytoplasm,0.06295907600637189
ZEAMA,Nucleus,-0.12016323795155526
ZEAMA,Cell membrane,0.024342898521892118
ZEAMA,Plastid,-0.010627766719188437
ZEAMA,Extracellular,0.11702251140440431
ZEAMA,Mitochondrion,-0.006003965570399626
ZEAMA,Endoplasmic reticulum,0.006462260884211311
ZEAMA,Golgi apparatus,-0.009849208035604486
ZEAMA,Lysosome/Vacuole,0.0
ZEAMA,Peroxisome,0.0
