f1_micro,f1_macro,accuracy,jaccard_micro,fold,partition,n_test,n_train
0.46844798180784536,0.2630208314041552,0.305159165751921,0.3058648849294729,0,0,911,3579
0.45605095541401275,0.2787850900360208,0.30011723329425555,0.2953795379537954,1,1,853,3637
0.44630071599045346,0.2620940425303975,0.30429988974641675,0.2872503840245776,2,2,907,3583
0.4581497797356828,0.26364800627281954,0.3093306288032454,0.29714285714285715,3,3,986,3504
0.5063460253841016,0.2891478496507047,0.36134453781512604,0.33899821109123435,4,4,833,3657
