species,compartment,mcc
ARATH,Cytoplasm,0.6208449903898018
ARATH,Nucleus,0.8573867013404356
ARATH,Cell membrane,0.7022033015503819
ARATH,Plastid,0.8270616237408053
ARATH,Extracellular,0.9060204430730611
ARATH,Mitochondrion,0.6854534276247546
ARATH,Endoplasmic reticulum,0.641683555276917
ARATH,Golgi apparatus,0.7315900222631609
ARATH,Lysosome/Vacuole,0.3252432872682348
ARATH,Peroxisome,0.5119590200665541
GLYMA,Cytoplasm,0.7694791664123625
GLYMA,Nucleus,0.9260301555219252
GLYMA,Cell membrane,0.8401388791555092
GLYMA,Plastid,0.8918115441677683
GLYMA,Extracellular,0.9415434724334981
GLYMA,Mitochondrion,0.8128242769433419
GLYMA,Endoplasmic reticulum,0.7731115765018027
GLYMA,Golgi apparatus,0.8638976619896075
GLYMA,Lysosome/Vacuole,0.4933158185903337
GLYMA,Peroxisome,0.7922863151952677
MEDTR,Cytoplasm,0.7376005067010267
MEDTR,Nucleus,0.9246298161934107
MEDTR,Cell membrane,0.8587897221209257
MEDTR,Plastid,0.8147052069182766
MEDTR,Extracellular,0.9243443613572768
MEDTR,Mitochondrion,0.7819921900027073
MEDTR,Endoplasmic reticulum,0.7507888723279235
MEDTR,Golgi apparatus,0.8442756510356885
MEDTR,Lysosome/Vacuole,0.6227399751699103
MEDTR,Peroxisome,0.7669569252134945
ORYSA,Cytoplasm,0.6899861966364446
ORYSA,Nucleus,0.8875688840436723
ORYSA,Cell membrane,0.7739040607830563
ORYSA,Plastid,0.833933048185438
ORYSA,Extracellular,0.9146306422178049
ORYSA,Mitochondrion,0.6930955573423162
ORYSA,Endoplasmic reticulum,0.6547555426485355
ORYSA,Golgi apparatus,0.8090220823477993
ORYSA,Lysosome/Vacuole,0.4290641102841711
ORYSA,Peroxisome,0.5169675792730615
POPTR,Cytoplasm,0.768430991328422
POPTR,Nucleus,0.9312844418641748
POPTR,Cell membrane,0.8628192825400341
POPTR,Plastid,0.8819038378258786
POPTR,Extracellular,0.9411279914672221
POPTR,Mitochondrion,0.8370760277028925
POPTR,Endoplasmic reticulum,0.7595079874920512
POPTR,Golgi apparatus,0.8586757745374456
POPTR,Lysosome/Vacuole,0.5326399293546906
POPTR,Peroxisome,0.8054210900825182
ZEAMA,Cytoplasm,0.7269858427321808
ZEAMA,Nucleus,0.9220338983050848
ZEAMA,Cell membrane,0.8757292994058591
ZEAMA,Plastid,0.8672653551694186
ZEAMA,Extracellular,0.9712029779897192
ZEAMA,Mitochondrion,0.8162519919338019
ZEAMA,Endoplasmic reticulum,0.773103049704144
ZEAMA,Golgi apparatus,0.8842607993646168
ZEAMA,Lysosome/Vacuole,0.5700019318039321
ZEAMA,Peroxisome,0.8221895199527242
