species,compartment,mcc
ARATH,Cytoplasm,0.5949115028897921
ARATH,Nucleus,0.8421786370021913
ARATH,Cell membrane,0.7305937030868516
ARATH,Plastid,0.817587644632786
ARATH,Extracellular,0.9091971348157896
ARATH,Mitochondrion,0.6604862792010358
ARATH,Endoplasmic reticulum,0.5926170677130284
ARATH,Golgi apparatus,0.7130295320105694
ARATH,Lysosome/Vacuole,0.36658468507847836
ARATH,Peroxisome,0.38361939265232897
GLYMA,Cytoplasm,0.768286313156638
GLYMA,Nucleus,0.9127720624123891
GLYMA,Cell membrane,0.8666807773303657
GLYMA,Plastid,0.8852489933518253
GLYMA,Extracellular,0.9454321350607731
GLYMA,Mitochondrion,0.8180777284787621
GLYMA,Endoplasmic reticulum,0.7178435832909628
GLYMA,Golgi apparatus,0.854372961477307
GLYMA,Lysosome/Vacuole,0.606468320752483
GLYMA,Peroxisome,0.5757842167503736
MEDTR,Cytoplasm,0.7689093825080312
MEDTR,Nucleus,0.9069490855819192
MEDTR,Cell membrane,0.864136371496288
MEDTR,Plastid,0.8465763681602441
MEDTR,Extracellular,0.9296869665078092
MEDTR,Mitochondrion,0.7837787594826175
MEDTR,Endoplasmic reticulum,0.6993842480859279
MEDTR,Golgi apparatus,0.8648791544107923
MEDTR,Lysosome/Vacuole,0.6993504051521768
MEDTR,Peroxisome,0.5197494283360226
ORYSA,Cytoplasm,0.6866985854007049
ORYSA,Nucleus,0.8762141846281298
ORYSA,Cell membrane,0.8453423229866638
ORYSA,Plastid,0.86641266217066
ORYSA,Extracellular,0.9241036278479396
ORYSA,Mitochondrion,0.7513817355655079
ORYSA,Endoplasmic reticulum,0.6003717809244551
ORYSA,Golgi apparatus,0.8593913325053343
ORYSA,Lysosome/Vacuole,0.5196265007737157
ORYSA,Peroxisome,0.6124273090076907
POPTR,Cytoplasm,0.7827562849353333
POPTR,Nucleus,0.9144977065201034
POPTR,Cell membrane,0.8885281027114539
POPTR,Plastid,0.8929075730253654
POPTR,Extracellular,0.9410061198282419
POPTR,Mitochondrion,0.8482921576503234
POPTR,Endoplasmic reticulum,0.739965998824004
POPTR,Golgi apparatus,0.8281743524824595
POPTR,Lysosome/Vacuole,0.5379727948687838
POPTR,Peroxisome,0.700824881300821
ZEAMA,Cytoplasm,0.7186708075790188
ZEAMA,Nucleus,0.8752686129118636
ZEAMA,Cell membrane,0.8837854409495765
ZEAMA,Plastid,0.8458749129106458
ZEAMA,Extracellular,0.9481870476945543
ZEAMA,Mitochondrion,0.787333940605679
ZEAMA,Endoplasmic reticulum,0.706180369373863
ZEAMA,Golgi apparatus,0.8368585694045534
ZEAMA,Lysosome/Vacuole,0.6197928197629027
ZEAMA,Peroxisome,0.5980994725240308
