species,compartment,mcc
ARATH,Cytoplasm,0.3118469501042651
ARATH,Nucleus,0.6608270852412693
ARATH,Cell membrane,0.3336068467469445
ARATH,Plastid,0.5870250323200767
ARATH,Extracellular,0.46555866302684934
ARATH,Mitochondrion,0.4471583652948247
ARATH,Endoplasmic reticulum,0.4184856179423054
ARATH,Golgi apparatus,0.542851069965857
ARATH,Lysosome/Vacuole,0.03740733178888643
ARATH,Peroxisome,0.30743599102782315
GLYMA,Cytoplasm,0.41062069220750824
GLYMA,Nucleus,0.6767611274211469
GLYMA,Cell membrane,0.44146876310538974
GLYMA,Plastid,0.5294296863354153
GLYMA,Extracellular,0.5051185424619359
GLYMA,Mitochondrion,0.5485448217826198
GLYMA,Endoplasmic reticulum,0.5566688895395185
GLYMA,Golgi apparatus,0.6327596284494886
GLYMA,Lysosome/Vacuole,0.028307012135460285
GLYMA,Peroxisome,0.4902474016605381
MEDTR,Cytoplasm,0.3791270200366411
MEDTR,Nucleus,0.6838661943287551
MEDTR,Cell membrane,0.5477176734272021
MEDTR,Plastid,0.47090946038873266
MEDTR,Extracellular,0.5427168449537649
MEDTR,Mitochondrion,0.453171693218845
MEDTR,Endoplasmic reticulum,0.37217643865017463
MEDTR,Golgi apparatus,0.40723063738808996
MEDTR,Lysosome/Vacuole,-0.002461920183021312
MEDTR,Peroxisome,0.2716057285498558
ORYSA,Cytoplasm,0.26900664887936565
ORYSA,Nucleus,0.651486100398053
ORYSA,Cell membrane,0.13448898430721623
ORYSA,Plastid,0.4659137112584823
ORYSA,Extracellular,0.31477839123849943
ORYSA,Mitochondrion,0.4426694898468167
ORYSA,Endoplasmic reticulum,0.3708829164427803
ORYSA,Golgi apparatus,0.4403144245719377
ORYSA,Lysosome/Vacuole,-0.00268675869757845
ORYSA,Peroxisome,0.1743673677401681
POPTR,Cytoplasm,0.42660476933553637
POPTR,Nucleus,0.6845256715710994
POPTR,Cell membrane,0.4917255395728616
POPTR,Plastid,0.5743900707868499
POPTR,Extracellular,0.5459403537450831
POPTR,Mitochondrion,0.5230454361900191
POPTR,Endoplasmic reticulum,0.555863127985648
POPTR,Golgi apparatus,0.503399627065556
POPTR,Lysosome/Vacuole,0.05359985740927197
POPTR,Peroxisome,0.5784050139385206
ZEAMA,Cytoplasm,0.3663351543638656
ZEAMA,Nucleus,0.6942015211477714
ZEAMA,Cell membrane,0.5633258568616747
ZEAMA,Plastid,0.5263099355652381
ZEAMA,Extracellular,0.479552668182246
ZEAMA,Mitochondrion,0.5627924943664265
ZEAMA,Endoplasmic reticulum,0.49888279098326727
ZEAMA,Golgi apparatus,0.6038254988106585
ZEAMA,Lysosome/Vacuole,-0.004245176965587876
ZEAMA,Peroxisome,0.6478410336879722
