f1_micro,f1_macro,accuracy,jaccard_micro,fold,partition,n_test,n_train
0.42700729927007297,0.2122215335283033,0.278814489571899,0.271461716937355,0,0,911,3579
0.43638760711931446,0.2495114285988506,0.29308323563892147,0.2790893760539629,1,1,853,3637
0.4278668310727497,0.23267870052895373,0.29437706725468576,0.27215686274509804,2,2,907,3583
0.4380069524913094,0.2148723140534734,0.29817444219066935,0.28041543026706234,3,3,986,3504
0.4777158774373259,0.22898787294897768,0.33373349339735897,0.3138151875571821,4,4,833,3657
