species,compartment,mcc
ARATH,Cytoplasm,0.12776064636435341
ARATH,Nucleus,0.43973899259267396
ARATH,Cell membrane,0.18674901427285548
ARATH,Plastid,0.6312191619133539
ARATH,Extracellular,0.3536256473863042
ARATH,Mitochondrion,0.2802350927945251
ARATH,Endoplasmic reticulum,0.2735486150623819
ARATH,Golgi apparatus,0.21120261912388524
ARATH,Lysosome/Vacuole,0.0
ARATH,Peroxisome,0.08787668748386736
GLYMA,Cytoplasm,0.1210950964100997
GLYMA,Nucleus,0.40722107639009764
GLYMA,Cell membrane,0.22604518976130042
GLYMA,Plastid,0.5893557313651607
GLYMA,Extracellular,0.305303200616604
GLYMA,Mitochondrion,0.1978199282471916
GLYMA,Endoplasmic reticulum,0.2348675260790341
GLYMA,Golgi apparatus,0.13447400698364773
GLYMA,Lysosome/Vacuole,0.0
GLYMA,Peroxisome,0.0672165832944165
MEDTR,Cytoplasm,0.0678158791146131
MEDTR,Nucleus,0.35413098220341827
MEDTR,Cell membrane,0.15015837654634018
MEDTR,Plastid,0.4926764477500724
MEDTR,Extracellular,0.25773948615172043
MEDTR,Mitochondrion,0.19391818029575203
MEDTR,Endoplasmic reticulum,0.26199846126383
MEDTR,Golgi apparatus,0.17634529991211617
MEDTR,Lysosome/Vacuole,-0.002598649560631365
MEDTR,Peroxisome,0.0
ORYSA,Cytoplasm,0.18562404776173583
ORYSA,Nucleus,0.4497760604736942
ORYSA,Cell membrane,0.2205896242721592
ORYSA,Plastid,0.6320370530759188
ORYSA,Extracellular,0.35095559460007153
ORYSA,Mitochondrion,0.20697354151188016
ORYSA,Endoplasmic reticulum,0.2013588770939056
ORYSA,Golgi apparatus,0.2584328305873563
ORYSA,Lysosome/Vacuole,0.0
ORYSA,Peroxisome,0.0
POPTR,Cytoplasm,0.07965668743949532
POPTR,Nucleus,0.39937530238120245
POPTR,Cell membrane,0.2094382487091201
POPTR,Plastid,0.5446255345741537
POPTR,Extracellular,0.30439847454389996
POPTR,Mitochondrion,0.046038417998063345
POPTR,Endoplasmic reticulum,0.2860064258041013
POPTR,Golgi apparatus,0.26540767677940225
POPTR,Lysosome/Vacuole,-0.0012376728098212114
POPTR,Peroxisome,0.0
ZEAMA,Cytoplasm,0.18419349735055834
ZEAMA,Nucleus,0.4322306709421758
ZEAMA,Cell membrane,0.21470107493552912
ZEAMA,Plastid,0.6322863802326336
ZEAMA,Extracellular,0.29216410768412754
ZEAMA,Mitochondrion,0.3174328923946741
ZEAMA,Endoplasmic reticulum,0.18620563402591075
ZEAMA,Golgi apparatus,0.20340599714964802
ZEAMA,Lysosome/Vacuole,0.0
ZEAMA,Peroxisome,0.0
