species,compartment,mcc
ARATH,Cytoplasm,0.3061359987843707
ARATH,Nucleus,0.631413054462707
ARATH,Cell membrane,0.3639300970110609
ARATH,Plastid,0.6291894032952822
ARATH,Extracellular,0.32621240802469414
ARATH,Mitochondrion,0.44183779197186157
ARATH,Endoplasmic reticulum,0.3090428148516095
ARATH,Golgi apparatus,0.40636946035405025
ARATH,Lysosome/Vacuole,0.0
ARATH,Peroxisome,0.3905298759945854
GLYMA,Cytoplasm,0.3330589409796263
GLYMA,Nucleus,0.5780014683675542
GLYMA,Cell membrane,0.4635663380241895
GLYMA,Plastid,0.44187654950666244
GLYMA,Extracellular,0.39487434492737616
GLYMA,Mitochondrion,0.4703260295327998
GLYMA,Endoplasmic reticulum,0.4135407900743382
GLYMA,Golgi apparatus,0.4207528145821433
GLYMA,Lysosome/Vacuole,0.023053454524563616
GLYMA,Peroxisome,0.51482058923618
MEDTR,Cytoplasm,0.2556381613329961
MEDTR,Nucleus,0.5028575502314919
MEDTR,Cell membrane,0.5432384811453559
MEDTR,Plastid,0.34922559428622646
MEDTR,Extracellular,0.29856787843527993
MEDTR,Mitochondrion,0.3177736969429689
MEDTR,Endoplasmic reticulum,0.23943080884052229
MEDTR,Golgi apparatus,0.33589562972478404
MEDTR,Lysosome/Vacuole,0.0
MEDTR,Peroxisome,0.30189066546138255
ORYSA,Cytoplasm,0.0
ORYSA,Nucleus,0.4526650668343966
ORYSA,Cell membrane,0.07374760308234082
ORYSA,Plastid,0.048207726564067875
ORYSA,Extracellular,-0.00574008472825114
ORYSA,Mitochondrion,0.11152265270264054
ORYSA,Endoplasmic reticulum,0.0
ORYSA,Golgi apparatus,0.0
ORYSA,Lysosome/Vacuole,0.0
ORYSA,Peroxisome,0.0
POPTR,Cytoplasm,0.3025735960874029
POPTR,Nucleus,0.6143994459743132
POPTR,Cell membrane,0.535906645097306
POPTR,Plastid,0.34580298161551765
POPTR,Extracellular,0.18963028008490124
POPTR,Mitochondrion,0.3670287651583323
POPTR,Endoplasmic reticulum,0.3603558411573784
POPTR,Golgi apparatus,0.16981659592769746
POPTR,Lysosome/Vacuole,0.0
POPTR,Peroxisome,0.40121585334351006
ZEAMA,Cytoplasm,0.3501089380412029
ZEAMA,Nucleus,0.5694652317584739
ZEAMA,Cell membrane,0.5430552853220013
ZEAMA,Plastid,0.36896101227191974
ZEAMA,Extracellular,0.2925642375665785
ZEAMA,Mitochondrion,0.518755826295247
ZEAMA,Endoplasmic reticulum,0.38072334870645125
ZEAMA,Golgi apparatus,0.25916239888925285
ZEAMA,Lysosome/Vacuole,0.0
ZEAMA,Peroxisome,0.36515309121715683
