species,compartment,mcc
ARATH,Cytoplasm,0.5911530420738146
ARATH,Nucleus,0.8546533481566638
ARATH,Cell membrane,0.7124628089743621
ARATH,Plastid,0.8260468881122226
ARATH,Extracellular,0.9052908552464497
ARATH,Mitochondrion,0.7109617786479866
ARATH,Endoplasmic reticulum,0.593982151916126
ARATH,Golgi apparatus,0.7265908660824759
ARATH,Lysosome/Vacuole,0.37033744864479085
ARATH,Peroxisome,0.4505093736104027
GLYMA,Cytoplasm,0.7641853608273506
GLYMA,Nucleus,0.9293380142743283
GLYMA,Cell membrane,0.8513122479146766
GLYMA,Plastid,0.8816788291953049
GLYMA,Extracellular,0.9408263458734392
GLYMA,Mitochondrion,0.8037632202783818
GLYMA,Endoplasmic reticulum,0.7410189966665539
GLYMA,Golgi apparatus,0.8362727826426205
GLYMA,Lysosome/Vacuole,0.573000349193462
GLYMA,Peroxisome,0.6729913235570236
MEDTR,Cytoplasm,0.7296765140289967
MEDTR,Nucleus,0.9186829526141167
MEDTR,Cell membrane,0.8546775890034418
MEDTR,Plastid,0.8140972911961514
MEDTR,Extracellular,0.923277593093421
MEDTR,Mitochondrion,0.7047689170442396
MEDTR,Endoplasmic reticulum,0.6867113450976555
MEDTR,Golgi apparatus,0.7833379745116482
MEDTR,Lysosome/Vacuole,0.6099471887979562
MEDTR,Peroxisome,0.5163532642847255
ORYSA,Cytoplasm,0.6947138083891256
ORYSA,Nucleus,0.8832342923729063
ORYSA,Cell membrane,0.7924822390435953
ORYSA,Plastid,0.8497656660646299
ORYSA,Extracellular,0.9288673224169578
ORYSA,Mitochondrion,0.7607309117715932
ORYSA,Endoplasmic reticulum,0.4648433304970153
ORYSA,Golgi apparatus,0.7134280678871922
ORYSA,Lysosome/Vacuole,0.3809144620371472
ORYSA,Peroxisome,0.0
POPTR,Cytoplasm,0.764899284742159
POPTR,Nucleus,0.921281979377619
POPTR,Cell membrane,0.8557198280274164
POPTR,Plastid,0.8778050280511263
POPTR,Extracellular,0.9427594973916217
POPTR,Mitochondrion,0.8115751226927501
POPTR,Endoplasmic reticulum,0.7718650106023562
POPTR,Golgi apparatus,0.8427868351135454
POPTR,Lysosome/Vacuole,0.45077096798114363
POPTR,Peroxisome,0.5643443158533675
ZEAMA,Cytoplasm,0.7370202602658703
ZEAMA,Nucleus,0.9159723919047879
ZEAMA,Cell membrane,0.884287998012735
ZEAMA,Plastid,0.867041226883078
ZEAMA,Extracellular,0.9647445478328286
ZEAMA,Mitochondrion,0.8223318293253481
ZEAMA,Endoplasmic reticulum,0.770249460390426
ZEAMA,Golgi apparatus,0.8772233897934559
ZEAMA,Lysosome/Vacuole,0.6035161990990348
ZEAMA,Peroxisome,0.6944182515049266
