f1_micro,f1_macro,accuracy,jaccard_micro,fold,partition,n_test,n_train
0.5891980360065466,0.42552744847731905,0.41675854465270123,0.4176334106728538,0,0,907,3565
0.6224066390041494,0.49148253915756285,0.44535840188014103,0.45180722891566266,1,1,851,3621
0.5719044975013882,0.37713942371706694,0.40707964601769914,0.4004665629860031,2,2,904,3568
0.6064718162839249,0.43027053641150054,0.44693877551020406,0.4352059925093633,3,3,980,3492
0.6500956022944551,0.4074436463216844,0.4975903614457831,0.48158640226628896,4,4,830,3642
