f1_micro,f1_macro,accuracy,jaccard_micro,fold,partition,n_test,n_train
0.43012048192771085,0.2179413135329614,0.283205268935236,0.27398311588641594,0,0,911,3579
0.44342105263157894,0.25586847400729873,0.2977725674091442,0.2848689771766695,1,1,853,3637
0.42446941323345816,0.21504962415034717,0.28776185226019846,0.2694136291600634,2,2,907,3583
0.4407171775592828,0.222588379751489,0.30425963488843816,0.28264094955489616,3,3,986,3504
0.4756606397774687,0.23752879184178158,0.3325330132052821,0.31204379562043794,4,4,833,3657
