species,compartment,mcc
ARATH,Cytoplasm,0.5858769756497803
ARATH,Nucleus,0.8434636693470277
ARATH,Cell membrane,0.7130149778825117
ARATH,Plastid,0.8292566097975823
ARATH,Extracellular,0.8969608075387925
ARATH,Mitochondrion,0.6586431760798199
ARATH,Endoplasmic reticulum,0.5936346687895231
ARATH,Golgi apparatus,0.7219492539869787
ARATH,Lysosome/Vacuole,0.3542217333113976
ARATH,Peroxisome,0.33685101822049546
GLYMA,Cytoplasm,0.7471911583019474
GLYMA,Nucleus,0.9091229015397193
GLYMA,Cell membrane,0.8502055104863404
GLYMA,Plastid,0.8781287287620985
GLYMA,Extracellular,0.9290451928265209
GLYMA,Mitochondrion,0.7999729462787092
GLYMA,Endoplasmic reticulum,0.6895344441136468
GLYMA,Golgi apparatus,0.8022711016208836
GLYMA,Lysosome/Vacuole,0.5054144479783331
GLYMA,Peroxisome,0.5512092076167164
MEDTR,Cytoplasm,0.7412515240092348
MEDTR,Nucleus,0.9070506151081813
MEDTR,Cell membrane,0.8560768862916485
MEDTR,Plastid,0.8385782711154054
MEDTR,Extracellular,0.9157134230048756
MEDTR,Mitochondrion,0.7511134340235929
MEDTR,Endoplasmic reticulum,0.6979849117445247
MEDTR,Golgi apparatus,0.7759136442500081
MEDTR,Lysosome/Vacuole,0.620676926508875
MEDTR,Peroxisome,0.5987251283973855
ORYSA,Cytoplasm,0.681295516774076
ORYSA,Nucleus,0.873057575584362
ORYSA,Cell membrane,0.8317800232709088
ORYSA,Plastid,0.8572266647212332
ORYSA,Extracellular,0.8954469478671724
ORYSA,Mitochondrion,0.7241480377165886
ORYSA,Endoplasmic reticulum,0.6065501837718955
ORYSA,Golgi apparatus,0.8500559264023527
ORYSA,Lysosome/Vacuole,0.46196959879608324
ORYSA,Peroxisome,0.531171920195427
POPTR,Cytoplasm,0.7618798238918112
POPTR,Nucleus,0.9160683164706026
POPTR,Cell membrane,0.8702368232130997
POPTR,Plastid,0.8889597402834646
POPTR,Extracellular,0.9325232231749296
POPTR,Mitochondrion,0.8356001622628095
POPTR,Endoplasmic reticulum,0.7113044582301296
POPTR,Golgi apparatus,0.810455736365841
POPTR,Lysosome/Vacuole,0.5379727948687838
POPTR,Peroxisome,0.55210246735749
ZEAMA,Cytoplasm,0.6885986387358225
ZEAMA,Nucleus,0.8803793725191407
ZEAMA,Cell membrane,0.8611105519123349
ZEAMA,Plastid,0.8436676887385757
ZEAMA,Extracellular,0.9432916576559797
ZEAMA,Mitochondrion,0.7777971655032696
ZEAMA,Endoplasmic reticulum,0.6747654573881633
ZEAMA,Golgi apparatus,0.799060147431517
ZEAMA,Lysosome/Vacuole,0.48614642841122163
ZEAMA,Peroxisome,0.514675951144995
