f1_micro,f1_macro,accuracy,jaccard_micro,fold,partition,n_test,n_train
0.613958560523446,0.38398694139341855,0.4632272228320527,0.4429583005507474,0,0,911,3579
0.6466076696165192,0.4311811900058621,0.4900351699882767,0.4777680906713165,1,1,853,3637
0.6507592190889371,0.3941595537863005,0.4785005512679162,0.48231511254019294,2,2,907,3583
0.6425619834710744,0.3988717254242336,0.47971602434077076,0.4733637747336377,3,3,986,3504
0.6931818181818182,0.3884766066896227,0.5306122448979592,0.5304347826086957,4,4,833,3657
